Rank,Model,Aver,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Precision,Nparam,model_link
315,TFLai/MythoMix-Platypus2-13B-QLoRA-0.80-epoch,52.91,60.32,83.72,55.74,52.18,75.53,0.91,41.98,instruction-tuned,16bit,13.02,https://huggingface.co/TFLai/MythoMix-Platypus2-13B-QLoRA-0.80-epoch
316,CausalLM/7B,52.9,50.0,74.58,61.79,50.13,69.69,22.97,41.15,fine-tuned,16bit,7.0,https://huggingface.co/CausalLM/7B
317,TFLai/Nous-Hermes-Platypus2-13B-QLoRA-0.80-epoch,52.89,59.9,83.29,56.69,51.08,75.22,1.44,42.65,instruction-tuned,16bit,13.02,https://huggingface.co/TFLai/Nous-Hermes-Platypus2-13B-QLoRA-0.80-epoch
318,argilla/notus-7b-v1,52.89,64.59,84.78,63.03,54.37,79.4,15.16,8.91,fine-tuned,16bit,7.24,https://huggingface.co/argilla/notus-7b-v1
319,Weyaxi/Samantha-Nebula-7B,52.87,57.0,82.25,54.21,49.58,73.09,11.37,42.57,instruction-tuned,16bit,7.24,https://huggingface.co/Weyaxi/Samantha-Nebula-7B
320,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,52.83,57.34,80.44,60.81,45.63,74.82,19.71,31.08,fine-tuned,16bit,7.0,https://huggingface.co/SciPhi/SciPhi-Self-RAG-Mistral-7B-32k
321,Weyaxi/TekniumAiroboros-Nebula-7B,52.82,57.17,81.72,55.25,51.64,73.24,9.4,41.33,instruction-tuned,16bit,7.24,https://huggingface.co/Weyaxi/TekniumAiroboros-Nebula-7B
322,Envoid/Libra-19B,52.8,60.58,82.04,55.57,48.41,76.32,0.08,46.63,instruction-tuned,16bit,19.2,https://huggingface.co/Envoid/Libra-19B
323,CHIH-HUNG/llama-2-13b-FINETUNE5_4w-r8-q_k_v_o,52.79,57.25,81.73,55.72,41.53,77.58,14.03,41.7,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE5_4w-r8-q_k_v_o
324,Undi95/ReMM-Mistral-13B,52.76,62.2,83.82,55.43,53.32,74.51,12.05,27.96,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/ReMM-Mistral-13B
325,Aspik101/llama-30b-2048-instruct-PL-lora_unload,52.75,63.82,84.7,61.49,52.49,79.79,17.89,9.08,fine-tuned,16bit,32.32,https://huggingface.co/Aspik101/llama-30b-2048-instruct-PL-lora_unload
326,bofenghuang/vigogne-2-13b-instruct,52.74,61.18,83.25,55.92,51.08,77.35,2.05,38.37,fine-tuned,16bit,13.02,https://huggingface.co/bofenghuang/vigogne-2-13b-instruct
327,Undi95/MLewd-Chat-v2-13B,52.72,61.86,83.81,57.0,54.51,75.77,10.46,25.63,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/MLewd-Chat-v2-13B
328,Voicelab/trurl-2-13b-academic,52.7,57.94,79.55,55.2,43.46,76.56,10.92,45.28,instruction-tuned,16bit,12.85,https://huggingface.co/Voicelab/trurl-2-13b-academic
329,yeontaek/llama-2-13b-Beluga-QLoRA,52.7,59.22,81.92,56.67,48.23,77.19,1.29,44.41,instruction-tuned,16bit,12.85,https://huggingface.co/yeontaek/llama-2-13b-Beluga-QLoRA
330,IkariDev/Athena-v1,52.68,60.07,82.64,55.61,46.58,74.82,4.93,44.11,fine-tuned,16bit,13.02,https://huggingface.co/IkariDev/Athena-v1
331,uukuguy/speechless-orca-platypus-coig-lite-4k-0.6e-13b,52.65,58.79,79.93,56.77,48.29,75.93,4.25,44.59,fine-tuned,16bit,12.85,https://huggingface.co/uukuguy/speechless-orca-platypus-coig-lite-4k-0.6e-13b
332,openchat/openchat_3.5,52.64,62.46,83.96,62.89,45.43,81.06,25.78,6.93,fine-tuned,4bit,0.0,https://huggingface.co/openchat/openchat_3.5
333,bofenghuang/vigostral-7b-chat,52.62,62.63,84.34,63.53,49.24,78.61,16.76,13.26,fine-tuned,16bit,7.0,https://huggingface.co/bofenghuang/vigostral-7b-chat
334,Undi95/ReMM-L2-13B,52.58,59.73,83.1,54.11,49.94,74.51,2.96,43.7,fine-tuned,16bit,13.02,https://huggingface.co/Undi95/ReMM-L2-13B
335,Undi95/ReMM-L2-13B-PIPPA,52.58,59.73,83.12,54.1,49.94,74.51,2.96,43.69,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/ReMM-L2-13B-PIPPA
336,TheBloke/Llama-2-70B-chat-GPTQ,52.56,62.63,84.81,62.74,50.98,78.69,18.65,9.4,fine-tuned,GPTQ,72.82,https://huggingface.co/TheBloke/Llama-2-70B-chat-GPTQ
337,Undi95/UndiMix-v1-13b,52.56,59.47,82.45,55.83,49.78,75.45,10.01,34.95,fine-tuned,16bit,13.02,https://huggingface.co/Undi95/UndiMix-v1-13b
338,Aspik101/llama-30b-instruct-2048-PL-lora,52.55,63.31,84.66,61.66,53.35,79.08,16.83,8.94,fine-tuned,16bit,32.32,https://huggingface.co/Aspik101/llama-30b-instruct-2048-PL-lora
339,teknium/CollectiveCognition-v1-Mistral-7B,52.55,62.37,85.5,62.76,54.48,77.58,17.89,7.22,instruction-tuned,16bit,7.11,https://huggingface.co/teknium/CollectiveCognition-v1-Mistral-7B
340,jondurbin/airoboros-33b-gpt4,52.54,63.74,84.87,58.54,47.06,77.03,12.66,23.9,,16bit,32.32,https://huggingface.co/jondurbin/airoboros-33b-gpt4
341,speechlessai/speechless-llama2-dolphin-orca-platypus-13b,52.54,59.64,82.65,57.9,43.44,77.19,9.7,37.24,fine-tuned,16bit,12.85,https://huggingface.co/speechlessai/speechless-llama2-dolphin-orca-platypus-13b
342,Brouz/Slerpeno,52.5,61.69,84.1,56.77,48.05,76.4,12.51,28.0,fine-tuned,16bit,13.02,https://huggingface.co/Brouz/Slerpeno
343,HuggingFaceH4/zephyr-7b-alpha,52.4,61.01,84.04,61.39,57.9,78.61,14.03,9.82,fine-tuned,16bit,7.11,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha
344,maywell/PiVoT-0.1-Evil-a,52.39,59.64,81.48,58.94,39.23,75.3,40.41,11.76,RL-tuned,16bit,7.24,https://huggingface.co/maywell/PiVoT-0.1-Evil-a
345,Weyaxi/test-help-steer-filtered-orig,52.38,57.59,80.42,57.24,41.1,76.64,9.63,44.01,fine-tuned,16bit,7.24,https://huggingface.co/Weyaxi/test-help-steer-filtered-orig
346,boomerchan/magpie-13b,52.37,63.31,84.25,58.15,49.15,76.48,14.48,20.78,fine-tuned,16bit,12.85,https://huggingface.co/boomerchan/magpie-13b
347,NousResearch/Nous-Hermes-Llama2-13b,52.35,61.52,83.29,55.11,50.38,75.45,10.08,30.61,fine-tuned,16bit,12.85,https://huggingface.co/NousResearch/Nous-Hermes-Llama2-13b
348,CausalLM/7B-DPO-alpha,52.32,50.85,73.0,63.39,57.58,67.56,22.67,31.19,fine-tuned,16bit,7.0,https://huggingface.co/CausalLM/7B-DPO-alpha
349,Weyaxi/zephyr-beta-Nebula-v2-7B,52.32,56.57,82.53,56.4,58.68,70.48,17.51,24.08,fine-tuned,16bit,7.24,https://huggingface.co/Weyaxi/zephyr-beta-Nebula-v2-7B
350,ehartford/WizardLM-30B-Uncensored,52.32,60.24,82.93,56.8,51.57,74.35,12.89,27.45,fine-tuned,16bit,32.32,https://huggingface.co/ehartford/WizardLM-30B-Uncensored
351,CHIH-HUNG/llama-2-13b-huangyt_Fintune_1_17w-q_k_v_o_proj,52.29,59.73,81.06,54.53,38.64,78.14,14.03,39.9,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-huangyt_Fintune_1_17w-q_k_v_o_proj
352,YeungNLP/firefly-llama2-13b,52.25,59.13,81.99,55.49,51.57,74.66,11.22,31.69,fine-tuned,16bit,12.85,https://huggingface.co/YeungNLP/firefly-llama2-13b
353,pankajmathur/orca_mini_v3_13b,52.23,63.14,82.35,56.52,51.81,76.48,13.12,22.23,instruction-tuned,16bit,12.85,https://huggingface.co/pankajmathur/orca_mini_v3_13b
354,psmathur/orca_mini_v3_13b,52.23,63.14,82.35,56.52,51.81,76.48,13.12,22.23,fine-tuned,16bit,12.85,https://huggingface.co/psmathur/orca_mini_v3_13b
355,Gryphe/MythoLogic-L2-13b,52.22,61.01,83.93,55.7,48.64,76.09,11.75,28.43,fine-tuned,16bit,12.85,https://huggingface.co/Gryphe/MythoLogic-L2-13b
356,CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r8-q_k_v_o,52.21,57.68,81.91,54.95,41.31,76.48,12.05,41.07,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r8-q_k_v_o
357,chargoddard/platypus-2-22b-relora,52.21,57.68,82.44,55.33,43.61,77.35,6.6,42.46,instruction-tuned,16bit,21.83,https://huggingface.co/chargoddard/platypus-2-22b-relora
358,CHIH-HUNG/llama-2-13b-FINETUNE5_4w-r16-q_k_v_o,52.2,58.7,81.66,53.87,43.02,76.72,13.8,37.63,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE5_4w-r16-q_k_v_o
359,jondurbin/airoboros-33b-gpt4-1.2,52.2,64.42,84.93,60.35,49.18,77.51,9.78,19.21,fine-tuned,16bit,32.32,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.2
360,digitous/13B-Chimera,52.19,57.59,81.5,49.86,52.59,77.27,10.69,35.84,,16bit,12.85,https://huggingface.co/digitous/13B-Chimera
361,MayaPH/GodziLLa-30B,52.17,61.52,82.13,54.21,55.91,76.16,0.38,34.86,fine-tuned,16bit,32.32,https://huggingface.co/MayaPH/GodziLLa-30B
362,ehartford/samantha-1.2-mistral-7b,52.16,64.08,85.08,63.91,50.4,78.53,16.98,6.13,instruction-tuned,16bit,7.11,https://huggingface.co/ehartford/samantha-1.2-mistral-7b
363,HuggingFaceH4/zephyr-7b-beta,52.15,62.03,84.36,61.07,57.45,77.74,12.74,9.66,fine-tuned,16bit,7.24,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
364,garage-bAInd/Camel-Platypus2-13B,52.12,60.75,83.61,56.51,49.6,75.37,0.08,38.91,fine-tuned,16bit,12.85,https://huggingface.co/garage-bAInd/Camel-Platypus2-13B
365,TigerResearch/tigerbot-13b-base,52.11,53.84,77.05,53.57,44.06,74.98,17.06,44.21,pretrained,16bit,13.0,https://huggingface.co/TigerResearch/tigerbot-13b-base
366,chargoddard/platypus2-22b-relora,52.11,57.51,82.36,54.94,43.62,77.11,6.29,42.9,instruction-tuned,16bit,21.83,https://huggingface.co/chargoddard/platypus2-22b-relora
367,uukuguy/speechless-orca-platypus-coig-lite-4k-0.5e-13b,52.09,58.02,80.15,57.26,48.04,75.45,5.84,39.88,fine-tuned,16bit,12.85,https://huggingface.co/uukuguy/speechless-orca-platypus-coig-lite-4k-0.5e-13b
368,CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r16-q_k_v_o,52.08,59.3,81.2,55.58,38.13,76.8,13.5,40.06,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r16-q_k_v_o
369,Undi95/CreativityEngine,52.07,59.3,82.42,53.55,52.46,74.19,9.55,32.98,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/CreativityEngine
370,CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r8-q_k_v_o,52.06,56.06,81.89,55.04,40.12,76.56,14.25,40.49,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r8-q_k_v_o
371,Qwen/Qwen-7B,52.05,51.37,78.47,59.84,47.79,72.69,44.96,9.25,pretrained,16bit,7.72,https://huggingface.co/Qwen/Qwen-7B
372,NousResearch/Nous-Hermes-Llama2-13b,52.03,61.26,83.26,55.04,50.41,75.37,9.17,29.71,fine-tuned,16bit,12.85,https://huggingface.co/NousResearch/Nous-Hermes-Llama2-13b
373,YeungNLP/firefly-llama2-13b-v1.2,52.03,60.67,80.46,56.51,51.03,74.82,11.75,28.94,fine-tuned,16bit,12.85,https://huggingface.co/YeungNLP/firefly-llama2-13b-v1.2
374,HuggingFaceH4/zephyr-7b-beta,52.02,62.03,84.53,61.06,57.44,78.06,11.37,9.67,fine-tuned,16bit,7.24,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
375,Sao10K/Stheno-1.8-L2-13B,52.0,63.48,84.12,58.57,52.86,76.4,13.27,15.33,fine-tuned,16bit,12.85,https://huggingface.co/Sao10K/Stheno-1.8-L2-13B
376,circulus/Llama-2-13b-orca-v1,51.99,62.2,82.32,57.67,49.6,76.8,12.89,22.47,fine-tuned,16bit,12.85,https://huggingface.co/circulus/Llama-2-13b-orca-v1
377,Undi95/Nous-Hermes-13B-Code,51.98,61.18,83.21,55.13,50.56,75.14,10.39,28.28,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/Nous-Hermes-13B-Code
378,NousResearch/Yarn-Mistral-7b-64k,51.97,59.9,82.51,62.96,41.86,77.27,33.28,6.02,fine-tuned,16bit,7.0,https://huggingface.co/NousResearch/Yarn-Mistral-7b-64k
379,CHIH-HUNG/llama-2-13b-huangyt_Fintune_1_17w,51.96,59.47,81.0,54.31,38.17,77.27,13.27,40.25,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-huangyt_Fintune_1_17w
380,Doctor-Shotgun/CalliopeDS-v2-L2-13B,51.95,62.8,84.14,56.14,51.06,76.01,12.59,20.92,fine-tuned,16bit,13.02,https://huggingface.co/Doctor-Shotgun/CalliopeDS-v2-L2-13B
381,circulus/Llama-2-13b-orca-v1,51.94,62.03,82.27,57.71,49.61,76.87,13.8,21.26,fine-tuned,16bit,12.85,https://huggingface.co/circulus/Llama-2-13b-orca-v1
382,stabilityai/StableBeluga-13B,51.94,62.03,82.27,57.71,49.61,76.87,13.8,21.26,fine-tuned,16bit,13.02,https://huggingface.co/stabilityai/StableBeluga-13B
383,TheBloke/gpt4-alpaca-lora-30b-HF,51.93,64.85,85.72,58.51,52.24,80.19,15.54,6.44,,16bit,32.32,https://huggingface.co/TheBloke/gpt4-alpaca-lora-30b-HF
384,CHIH-HUNG/llama-2-13b-huangyt_FINETUNE2_3w-q_k_v_o_proj,51.9,58.53,82.47,53.9,37.92,76.8,12.81,40.85,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-huangyt_FINETUNE2_3w-q_k_v_o_proj
385,WhoTookMyAmogusNickname/NewHope_HF_not_official,51.9,61.09,84.03,55.73,44.96,74.98,15.85,26.66,fine-tuned,16bit,12.85,https://huggingface.co/WhoTookMyAmogusNickname/NewHope_HF_not_official
386,CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r16-q_k_v_o,51.89,56.23,81.98,55.87,39.76,76.72,11.52,41.18,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r16-q_k_v_o
387,CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r16-q_k_v_o_gate_up_down,51.89,57.25,81.49,55.9,39.79,75.77,12.05,40.95,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r16-q_k_v_o_gate_up_down
388,mncai/Mistral-7B-OpenOrca-1k,51.88,62.97,84.66,62.2,52.96,78.61,11.98,9.74,instruction-tuned,16bit,7.11,https://huggingface.co/mncai/Mistral-7B-OpenOrca-1k
389,gaodrew/gaodrew-llama-30b-instruct-2048-Open-Platypus-100steps,51.87,61.52,84.06,60.23,51.05,80.82,17.66,7.75,fine-tuned,4bit,32.32,https://huggingface.co/gaodrew/gaodrew-llama-30b-instruct-2048-Open-Platypus-100steps
390,Undi95/Emerhyst-20B,51.85,61.69,84.98,56.98,54.16,76.09,8.49,20.56,fine-tuned,16bit,19.99,https://huggingface.co/Undi95/Emerhyst-20B
391,kaist-ai/prometheus-13b-v1.0,51.85,53.24,80.75,51.49,45.66,73.72,31.69,26.37,fine-tuned,16bit,13.0,https://huggingface.co/kaist-ai/prometheus-13b-v1.0
392,uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,51.85,59.64,82.7,58.3,56.0,75.37,13.12,17.81,fine-tuned,16bit,13.02,https://huggingface.co/uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b
393,CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r4-q_k_v_o,51.83,59.04,81.15,53.0,40.16,76.48,11.9,41.1,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r4-q_k_v_o
394,gradientputri/MegaMix-T1-13B,51.82,61.35,83.44,58.49,48.19,76.09,24.11,11.04,fine-tuned,16bit,13.02,https://huggingface.co/gradientputri/MegaMix-T1-13B
395,uukuguy/speechless-codellama-34b-v1.9,51.8,54.27,75.2,56.12,43.92,73.56,24.79,34.74,fine-tuned,16bit,33.48,https://huggingface.co/uukuguy/speechless-codellama-34b-v1.9
396,Enno-Ai/vigogne2-enno-13b-sft-lora-4bit,51.79,62.03,82.65,54.11,42.98,76.95,0.15,43.65,instruction-tuned,4bit,12.85,https://huggingface.co/Enno-Ai/vigogne2-enno-13b-sft-lora-4bit
397,NousResearch/Yarn-Mistral-7b-128k,51.79,59.64,82.5,63.02,41.78,76.95,32.6,6.01,fine-tuned,16bit,7.0,https://huggingface.co/NousResearch/Yarn-Mistral-7b-128k
398,jondurbin/airoboros-l2-13b-2.1,51.78,59.47,82.47,54.83,44.65,75.06,3.56,42.44,fine-tuned,16bit,12.85,https://huggingface.co/jondurbin/airoboros-l2-13b-2.1
399,Undi95/UndiMix-v4-13B,51.77,61.95,83.88,56.9,48.96,76.16,13.72,20.82,fine-tuned,16bit,13.02,https://huggingface.co/Undi95/UndiMix-v4-13B
400,totally-not-an-llm/EverythingLM-13b-V3-peft,51.77,58.36,81.03,54.7,52.98,72.85,5.53,36.94,instruction-tuned,4bit,12.85,https://huggingface.co/totally-not-an-llm/EverythingLM-13b-V3-peft
401,CalderaAI/13B-BlueMethod,51.76,59.64,82.07,50.34,47.74,77.11,7.81,37.62,fine-tuned,16bit,12.85,https://huggingface.co/CalderaAI/13B-BlueMethod
402,bavest/fin-llama-33b-merged,51.76,65.02,86.2,58.73,49.75,80.03,16.22,6.36,,16bit,32.32,https://huggingface.co/bavest/fin-llama-33b-merged
403,pe-nlp/llama-2-13b-platypus-vicuna-wizard,51.76,61.26,82.31,55.21,41.91,75.77,0.91,44.96,instruction-tuned,16bit,12.85,https://huggingface.co/pe-nlp/llama-2-13b-platypus-vicuna-wizard
404,Norquinal/Mistral-7B-claude-instruct,51.71,63.23,84.99,63.84,47.47,78.14,17.97,6.35,instruction-tuned,16bit,7.0,https://huggingface.co/Norquinal/Mistral-7B-claude-instruct
405,TheBloke/Airoboros-L2-13B-2.1-GPTQ,51.71,58.96,81.72,53.16,44.68,74.35,5.99,43.14,fine-tuned,GPTQ,16.23,https://huggingface.co/TheBloke/Airoboros-L2-13B-2.1-GPTQ
406,CHIH-HUNG/llama-2-13b-FINETUNE5_4w-r4-q_k_v_o,51.69,58.36,81.1,54.53,37.02,76.64,12.28,41.86,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE5_4w-r4-q_k_v_o
407,JosephusCheung/Pwen-7B-Chat-20_30,51.68,51.45,73.99,62.08,47.01,68.43,20.62,38.14,fine-tuned,16bit,7.0,https://huggingface.co/JosephusCheung/Pwen-7B-Chat-20_30
408,NousResearch/Nous-Hermes-13b,51.68,56.57,82.11,50.44,51.5,75.3,8.34,37.5,fine-tuned,16bit,12.85,https://huggingface.co/NousResearch/Nous-Hermes-13b
409,chargoddard/ypotryll-22b-epoch2-qlora,51.68,59.22,80.66,54.52,40.42,76.32,5.38,45.24,instruction-tuned,4bit,22.0,https://huggingface.co/chargoddard/ypotryll-22b-epoch2-qlora
410,PeanutJar/Mistral-v0.1-PeanutButter-v0.0.0-7B,51.62,62.2,84.1,64.14,46.94,78.69,18.5,6.76,instruction-tuned,16bit,7.24,https://huggingface.co/PeanutJar/Mistral-v0.1-PeanutButter-v0.0.0-7B
411,NurtureAI/openchat_3.5-16k,51.59,63.31,83.58,61.9,43.47,80.11,21.83,6.93,fine-tuned,16bit,7.24,https://huggingface.co/NurtureAI/openchat_3.5-16k
412,WizardLM/WizardLM-13B-V1.1,51.58,60.24,81.39,50.92,54.56,75.06,8.11,30.75,fine-tuned,16bit,12.85,https://huggingface.co/WizardLM/WizardLM-13B-V1.1
413,unaidedelf87777/wizard-mistral-v0.1,51.58,61.77,83.51,63.99,47.46,78.3,19.03,7.01,fine-tuned,16bit,7.24,https://huggingface.co/unaidedelf87777/wizard-mistral-v0.1
414,yeontaek/airoboros-2.1-llama-2-13B-QLoRa,51.57,59.73,82.91,54.77,45.14,74.03,2.81,41.62,instruction-tuned,16bit,12.85,https://huggingface.co/yeontaek/airoboros-2.1-llama-2-13B-QLoRa
415,migtissera/Synthia-13B-v1.2,51.56,61.26,82.93,56.47,47.27,76.48,10.99,25.48,fine-tuned,16bit,12.85,https://huggingface.co/migtissera/Synthia-13B-v1.2
416,PulsarAI/GenAI-Nova-13B,51.53,62.29,83.27,59.47,51.79,77.35,7.73,18.82,instruction-tuned,16bit,13.02,https://huggingface.co/PulsarAI/GenAI-Nova-13B
417,PulsarAI/2x-LoRA-Assemble-13B,51.52,63.65,83.47,59.82,55.94,76.48,9.25,12.01,fine-tuned,16bit,13.02,https://huggingface.co/PulsarAI/2x-LoRA-Assemble-13B
418,gradientputri/MegaMix-A1-13B,51.51,61.6,83.49,58.26,47.48,76.16,24.11,9.46,fine-tuned,16bit,13.02,https://huggingface.co/gradientputri/MegaMix-A1-13B
419,sequelbox/DaringFortitude,51.47,63.48,83.56,59.81,55.96,76.48,8.79,12.22,fine-tuned,16bit,13.02,https://huggingface.co/sequelbox/DaringFortitude
420,lmsys/vicuna-13b-v1.5,51.46,57.08,81.24,56.67,51.51,74.66,11.3,27.73,fine-tuned,16bit,12.85,https://huggingface.co/lmsys/vicuna-13b-v1.5
421,Henk717/chronoboros-33B,51.45,63.91,85.0,59.44,49.83,80.35,15.01,6.62,fine-tuned,16bit,32.32,https://huggingface.co/Henk717/chronoboros-33B
422,Henk717/airochronos-33B,51.43,64.42,85.21,59.79,50.59,79.32,13.72,6.93,,16bit,32.53,https://huggingface.co/Henk717/airochronos-33B
423,Riiid/sheep-duck-llama-2-13b,51.41,63.14,84.52,59.89,55.48,76.95,9.17,10.71,fine-tuned,16bit,12.85,https://huggingface.co/Riiid/sheep-duck-llama-2-13b
424,migtissera/Tess-XS-v1.0,51.41,61.43,83.82,64.1,47.12,78.93,18.27,6.18,fine-tuned,16bit,7.24,https://huggingface.co/migtissera/Tess-XS-v1.0
425,posicube/Llama2-chat-AYT-13B,51.41,63.31,83.53,59.67,55.8,76.09,8.87,12.62,fine-tuned,16bit,13.02,https://huggingface.co/posicube/Llama2-chat-AYT-13B
426,Undi95/Emerald-13B,51.39,62.29,83.69,55.7,50.94,75.93,12.81,18.38,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/Emerald-13B
427,Henk717/airochronos-33B,51.36,64.25,85.2,59.83,50.56,79.08,13.57,7.01,fine-tuned,16bit,32.53,https://huggingface.co/Henk717/airochronos-33B
428,maywell/koOpenChat-sft,51.36,59.81,78.73,61.32,51.24,76.4,24.18,7.82,instruction-tuned,16bit,0.0,https://huggingface.co/maywell/koOpenChat-sft
429,oh-yeontaek/llama-2-13B-LoRA-assemble,51.36,63.57,83.51,59.82,55.96,76.16,8.42,12.09,fine-tuned,16bit,12.85,https://huggingface.co/oh-yeontaek/llama-2-13B-LoRA-assemble
430,luffycodes/nash-vicuna-13b-v1dot5-ep2-w-rag-w-simple,51.33,59.13,80.64,56.12,51.29,74.66,10.54,26.89,fine-tuned,16bit,12.85,https://huggingface.co/luffycodes/nash-vicuna-13b-v1dot5-ep2-w-rag-w-simple
431,qblocks/mistral_7b_norobots,51.33,58.96,80.57,57.66,41.91,75.61,38.36,6.24,instruction-tuned,16bit,7.0,https://huggingface.co/qblocks/mistral_7b_norobots
432,OpenBuddy/openbuddy-llama2-13b-v11-bf16,51.32,52.99,75.38,51.36,47.94,71.03,18.88,41.63,fine-tuned,16bit,12.88,https://huggingface.co/OpenBuddy/openbuddy-llama2-13b-v11-bf16
433,openaccess-ai-collective/minotaur-13b,51.31,56.4,79.13,49.61,49.62,76.56,12.51,35.33,fine-tuned,16bit,12.85,https://huggingface.co/openaccess-ai-collective/minotaur-13b
434,Undi95/MLewd-L2-Chat-13B,51.29,62.03,84.19,58.75,52.84,77.43,11.3,12.53,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/MLewd-L2-Chat-13B
435,Undi95/MXLewd-L2-20B,51.29,63.23,85.33,57.36,51.65,76.09,10.92,14.46,fine-tuned,16bit,19.99,https://huggingface.co/Undi95/MXLewd-L2-20B
436,quantumaikr/QuantumLM-70B-hf,51.29,59.47,83.02,62.25,53.39,78.77,14.78,7.32,fine-tuned,16bit,68.98,https://huggingface.co/quantumaikr/QuantumLM-70B-hf
437,ehartford/samantha-mistral-7b,51.28,63.4,84.1,61.36,46.08,76.8,16.0,11.22,instruction-tuned,16bit,7.11,https://huggingface.co/ehartford/samantha-mistral-7b
438,CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r16-gate_up_down,51.27,55.03,81.97,56.64,38.07,77.19,12.21,37.75,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r16-gate_up_down
439,CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r4-q_k_v_o_gate_up_down,51.25,56.31,81.43,55.3,39.11,76.8,10.46,39.35,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE4_3.8w-r4-q_k_v_o_gate_up_down
440,mosaicml/mpt-30b-instruct,51.24,58.45,84.31,49.15,38.05,75.14,15.31,38.28,fine-tuned,16bit,29.96,https://huggingface.co/mosaicml/mpt-30b-instruct
441,CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r8-q_k_v_o_gate_up_down,51.23,57.94,81.19,53.43,40.48,76.72,10.84,37.99,fine-tuned,16bit,12.85,https://huggingface.co/CHIH-HUNG/llama-2-13b-FINETUNE3_3.3w-r8-q_k_v_o_gate_up_down
442,uukuguy/CollectiveCognition-v1.1-Mistral-7B-dare-0.85,51.23,61.01,84.31,64.34,44.87,78.85,18.95,6.32,fine-tuned,16bit,7.0,https://huggingface.co/uukuguy/CollectiveCognition-v1.1-Mistral-7B-dare-0.85
443,PeanutJar/Mistral-v0.1-PeanutButter-v0.0.2-7B,51.22,61.77,84.11,64.38,45.92,78.37,17.44,6.53,instruction-tuned,16bit,7.24,https://huggingface.co/PeanutJar/Mistral-v0.1-PeanutButter-v0.0.2-7B
444,PeanutJar/Mistral-v0.1-PeanutButter-v0.0.5-DPO-7B-QLoRA,51.2,61.26,84.52,63.63,45.75,78.61,18.12,6.51,,16bit,0.0,https://huggingface.co/PeanutJar/Mistral-v0.1-PeanutButter-v0.0.5-DPO-7B-QLoRA
445,Undi95/Amethyst-13B,51.2,62.63,83.17,55.91,52.43,74.74,10.84,18.7,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/Amethyst-13B
446,Undi95/Amethyst-13B-Mistral,51.2,62.63,83.17,55.91,52.43,74.74,10.84,18.7,fine-tuned,16bit,12.85,https://huggingface.co/Undi95/Amethyst-13B-Mistral
